Id-Doc,ArabicTitle,EnglishTitle
D068, تحليل بروتوكولات MAC القائمة على التنافس في ظل التلاشي متعدد المسارات   وإدارة الموارد ,Analysis of Contention Based MAC Protocols under Multipath Fading and Resource Management
D069, تحليل بروتوكولات التحكم في الوصول إلى الوسائط على أساس الاكتظاظ في ظل   ظروف التلاشي وإدارة الموارد ,Analysis of media access control protocols based on overcrowding under fading conditions and resource management
D070," تحليل أسطح الأسقف المنحنية ًأفقيا ، والتي هي من نوع البلاط الذي يستمر ًداخليا على   أعمدة رأسية ",Analysis of the horizontally curved roof surfaces which are of the type of tiles that continue internally on vertical pillars
D071, دراسة الشكل الموجي المستقطب المغطى بالمعدن بطريقة الخطوط ,Study of the polarized waveform encased in metal using the method of lines
D072, تحليل موجه الموجة المتعدد الطبقات لفرض تعزيز المجال في المواد ذات معامل   الانكسار المنخفض ,ANALYSIS OF MULTI-LAYER ARROW PLANAR WAVEGUIDE FOR EVANESCENT FIELD ENHANCEMENT IN LOW-INDEX MEDIA
D073, تحليل هياكل فجوة نطاق واحدة وثنائية الأبعاد باستخدام طريقة مؤتمتة للخطوط مع   حالات انقطاع تعسفي طولية ,ANALYSIS OF ONE AND TWO DIMENSIONAL BANDGAP STRUCTURES USING AUTOMATED METHOD OF LINES WITH ARBITRARY LONGITUDINAL DISCONTINUITIES
D074, تحليل المفاعل الحيوي للسرير المعبأ تحت استخدام أحادي ومتعدد الركائز ,ANALYSIS OF PACKED BED BIOFILM REACTOR UNDER SINGLE AND MULTIPLE SUBSTRATE UTILIZATION
D075, تحليل طرق الوصول العشوائي عبر قنوات التلاشي لأنظمة المخزن المحدود للمستخدم   المحدود ,Analysis of Random Access Methods Over Fading Channels for Finite-User Finite-Buffer Systems
D076, تحليل العوامل التي تؤثر على وقت التبلور لنظام بولي أكريلاميد ريدوكس ,ANALYSIS OP THE FACTORS AFFECTING THE GELATION TIME FOR POLYACRYLAMIDE-REDOX SYSTEM
D077, تحليل المجال غير المتجانس حول خطوط التيار المستمر ذات الجهد العالي ,Analysis of the heterogeneous field around high voltage DC lines
D078, تحليل المجال الكهربائي المتاين حول خطوط نقل الطاقة الكهربائية متعددة الاطوار ,ANALYSIS OF THE IONIZED FIELD AROUND MULTI-PHASE POWER TRANSMISSION LINES
D079, تحليل خصائص النقل المضطرب في التدفق الدوامي لجهاز الاحتراق من النوع العلب ,Analysis of Turbulent Transport Properties in a Swirling Flow of a Can-type Combustor
D080, تحليل خصائص النقل المضطرب في المجال القريب للطائرة الحرة المضطربة   المتساوية الحرارة ,Analysis of Turbulent Transport Properties in the near Field of an Isothermal Turbulent Free Jet
D081," تحليل الطائرات المضطربة ، والزاوية ، والكثيفة التي تم تفريغها إلى مناطق سريعة أو   موحدة أو ثابتة ","ANALYSIS OF TURBULENT, AXISYMMETRIC,DENSE JETS DISCHARGED TO QUIESCENT,UNIFORM OR STRATIFIED AMBIENTS"
D082, تحليل قارنة التوصيل الاتجاهي الانتقائي ذات الطول الموجي مع التجاويف الهوائية ,ANALYSIS OF WAVELENGTH SELECTIVE DIRECTIONAL COUPLER WITH AIR GROOVES
D083, تحليل الأصداف العامة المصفحة التي تخضع للدوران المنتهي والحركة الكبيرة ,ANALYSIS OF LAMINATED GENERAL SHELLS UNDERGOING FINITE ROTATIONS AND LARGE MOTION
D084, تحليل تدفق السوائل وانتقال الحرارة حول كرة السائل وداخلها ,Analysis of fluid flow and heat transfer around and inside a ball of fluid
D085, تطبيق تقنيات H ∞ الأمثل في معالجة الصور والإشارات ,Application of H∞ optimization techniques in image & signal processing
D086, تطوير الطرق التحليلية لتحليل الملوثات العضوية والعضوية الدقيقة في المواد البيئية ,ANALYTICAL METHODS DEVELOPMENT FOR THE ANALYSIS OF ORGANOMETALLIC AND ORGANIC MICRO-CONTAMINANTS IN ENVIRONMENTAL MATRICES
D087, الحساب التحليلي لموجات الصدمات القوسية من أجنحة الرفع فوق الصوتية المشكلة ّ   من دلتا ,ANALYTICAL CALCULATION OF BOW SHOCK WAVES FROM DELTA SHAPED SUPERSONIC LIFTING WINGS
D088, العنصر التحليلي والنهائي التحقيق في تأثير التخليص الأولي على القوة المشتركة من   الأنبوب إلى الأنبوب ,ANALYTICAL AND FINITE ELEMENT INVESTIGATION OF INITIAL CLEARANCE EFFECT ON TUBE-TO-TUBESHEET JOINT STRENGTH
D089, محاكى تحليلي لاطلاق خدمة الهاتف عبر الاي بي (IP),An Analytical Simulator for Deploying IP Telephony
D090, تحليل فعالية إجراءات التعقيد في التكامل القائم على اختبار المكونات ,Analyze the Effectiveness of Complexity Measures in Component-Based Integration Testing
D091, تقنية كشف الشذوذ لتحليل بيانات Honeynet ,Anomaly Detection Technique for Honeynet Data Analysis
D092, نمذجة وكشف الشذوذ للبنى التحتية لاتصالات الشبكة الذكية ,Anomaly Modeling and Detection for Smart Grid Communication Infrastructures
D093, نهج الحلقي للمجموعات الفرعية الضبابية ,An Annulus Approach to Fuzzy Subgroups
D094, خوارزمية التحسين المتعدد لمستعمرة النمل لتقسيم الدائرة الثنائية ,Ant Colony Multi-Optimization Algorithm for Circuit Bi-partitioning
D095, تطبيق نماذج الذكاء الاصطناعي في التنبؤ بتدفق حركة المرور وتحديد نقاط التوقف   في وقت اليوم ,APPLICATION OF ARTIFICIAL INTELLIGENCE MODELS IN TRAFFIC FLOW PREDICTION AND TIME-OF-DAY BREAKPOINTS DETERMINATION
D096, تطبيق الإنزيم على المياه الحيوية من ثنائي كلوريد الإيثيلين والبترول ,Application of Enzyme to Bioremediate Water From Ethylene Dichloride and Oil
D097, تطبيق الخواص الزلزالية المتعددة في تقدير خصائص المكمن ,Application of Multi-Seismic Attributes in Estimating Reservoir Properties
D098, تطبيق غشاء التناضح العكسي متعدد الطبقات متعدد الإلكتروليت في تحلية مياه البحر ,Application of Polyelectrolyte Multilayer Reverse Osmosis Membrane in Seawater Desalination
D099, تطبيق الشبكة العصبية لتحديد نموذج اختبار جيد التفسير للآبار الأفقية ,APPLICATION OF NEURAL NETWORK TO THE DETERMINATION OF WELL-TEST INTERPRETATION MODEL FOR HORIZONTAL WELLS
D100, تطبيق تقنية تحلل النبض لتوصيف النوى الكاملة ,Application of pulse-decay technique to characterize whole cores
D101, تطبيق نظرية المصفوفة العشوائية لمشاكل البث اللاسلكي ومعالجة الإشارات الزلزالية ,APPLICATION OF RANDOM MATRIX THEORY TO WIRELESS BROADCAST PROBLEMS AND SEISMIC SIGNAL PROCESSING
D102, تطبيق شبكة الترميزات الزمنية لإرسال الصور عبر القنوات اللاسلكية ,Application of network temporal encodings to send images via wireless channels
D103, تطبيق تقنيات المويجات لتحليل اهتزاز الآلات الدوارة ,Application of Wavelet Techniques to Vibration Analysis of Rotating Machinery
D104, تطبيقات تقنية احتراق الوقود بالأكسجين في أجهزة الاحتراق التوربينية الغازية   ومفاعلات غشاء النقل الأيوني ,Applications of oxy-fuel combustion technology into gas Turbine combustors and ion transport membrane reactors
D105, التقريبية للتماثلات الكاذبة ,Approximate Lie Symmetries
D106, التقريب بواسطة المويجات ,APPROXIMATION BY WAVELETS
D107, استرجاع الوثائق العربية باستخدام الفهرسة كامنة الدلالية ,ARABIC DOCUMENT RETRIEVAL USING LATENT SEMANTIC INDEXING
D108, التعرف الضوئي لنوع الخط العربي المطبوع ,ARABIC FONT RECOGNITION
D109, التعرف على لغة الإشارة العربية باستخدام قفاز الكتروني ,ARABIC SIGN LANGUAGE RECOGNITION USING AN INSTRUMENTED GLOVE
D110, الهندسة المدنية للعمليات الحسابية في حقل جالوا GF (م2 ) ,Civil Engineerings for Arithmetic Operations in Galois field GF(2m)
D111, تصميم مصفوفة بوابة قابلة للبرمجة باستخدام ذاكرة مستقرة ,Design of programmable gate array using stable memory
D112, تقنيات الذكاء الاصطناعي في توصيف المكامن ,Artificial Intelligence Techniques in Reservoir Characterization
D113, تقييم تأثيرات جودة الهواء للغاز الطبيعي ووقود الزيت الخام عند محطة طاقة بخارية   تبلغ 600 ميجاوات ,ASSESSMENT OF AIR QUALITY IMPACTS OF NATURAL GAS AND CRUDE OIL FUEL AT 600 MW STEAM POWER PLANT
D114, إدخال نظام دورة التكلفة في بناء المشاريع ,Introducing the cost-lifecycle system in the construction of projects
D115, تقييم أثر حماية البيانات والتشاور المسبق ,Evaluation of the impact of data protection and prior consultation
D116, تقييم تراكيز الكلوريد والكبريتات في الخرسانة باستخدام مطياف الانهيار المستحث   (LIBS) بالليزر ,Assessment of Chloride and Sulfate Concentrations in concrete Using Laser-Induced Breakdown Spectroscopy (LIBS)
D117, هندسة مدنية لتدفق المستندات الآمن وأنظمة الأرشفة ,An Civil Engineering for Secure Document Flow & Archival Systems
D118, نظام آلي لإنتاج الجمل العربية ,AN ARABIC SENTENCE GENERATOR
D119, التعرف الآلي على خط اليد العربي باستخدام السمات البنائية والنمطية ,ARABIC HANDWRITTEN TEXT RECOGNITION USING STRUCTURAL AND SYNTACTIC PATTERN ATTRIBUTES
D120, تقييم استخدام الكائنات الحية الدقيقة المحلية للمعالجة الحيوية للمواقع الملوثة   بالهيدروكربونات البترولية ,Assessing the Use of Local Indigenous Microorganisms for the Bioremediation of Sites Contaminated With Petroleum Hydrocarbons
D121, تحليل ونمذجة قالب البثق الساخن لتحسين عمر الخدمة ,Analysis and Modeling of Hot Extrusion Die for its Service Life Enhancement
D122," جوانب اتجاهات العصر البرمي القديم في خزان عنيزة أ ، تحت السطح شرق وسط   المملكة العربية السعودية ، باستخدام البيانات الأساسية المتكاملة وسجل الصور ","Aspects of Permian Paleowind Directions in the Unayzah-A Reservoir, Subsurface Eastern Central Saudi Arabia, Utilizing Integrated Core and Image Log Data"
D123, امتزاز الغازات الخفيفة وخلائطها على زيوليت 115-  SR و 10-  ETS ,Adsorption of Light Gases and Their Mixtures on SR-115 and ETS-10 Zeolites
D124, إمتصاص عوامل التخمير على الحجر الجيري العربي السعودي ,ADSORPTION OF SURFACTANTS ON SAUDI ARABIAN LIMESTONE
D125, الخوارزميات المتقدمة في كشف CDMA ,ADVANCED ALGORITHMS IN CDMA DETECTION
D126, نمذجة جيولوجية متقدمة وتحليل غير مؤكد في خزان الغاز الكلاسيكي المعقد من   المملكة العربية السعودية ,ADVANCED GEOLOGICAL MODELING AND UNCERTAINTY ANALYSIS IN A COMPLEX CLASTIC GAS ESERVOIR FROM SAUDI ARABIA
D127, مساعدة لتجميع كود الخصائص المتشابهة ,An Aid to Similar Characteristics Code Clustering
D128, داء مكيفات الهواء باستخدام بادئ تشغيل ناعم ,AIR CONDITIONERS PERFORMANCE USING SOFT STARTER
D129," فصل الهواء على المناخل الجزيئية الكربونية ، الزيوليت A  4 و A  5 عن طريق   امتزاز التأرجح بالضغط ","Air Separation on Carbon Molecular Sieves, 4A and 5A Zeolites by Pressure Swing Adsorption"
D130, كل تعديل الانعكاس البصري باستخدام السطحية الرنين البلازموني ,ALL OPTICAL REFLECTIVITY MODULATION UTILIZING SURFACE PLASMON RESONANCE
D131, بولي إلكتروليتات البرمائية: التوصيف والتطبيق في التخثر / التلبيد ,AMPHIPHILIC POLYELECTROLYTES: CHARACTERIZATION AND APPLICATION IN COAGULATION/FLOCCULATION
D132, تحليل وتطبيق التحسين الميداني الطارئ في موجة السهم متعدد الطبقات ,ANALYSIS AND APPLICATION OF EVANESCENT FIELD ENHANCEMENT IN MULTI-LAYER ARROW WAVEGUIDE
D133, تحليل وتصنيف أنظمة السمعة في شبكات النظير إلى النظير ,ANALYSIS AND CLASSIFICATION OF REPUTATION SYSTEMS IN PEER-TO-PEER NETWORKS
D134, تحليل وتصميم الأنابيب المدفونة ,ANALYSIS AND DESIGN OF BURIED PIPELINES
D135, تحليل وتنفيذ RTDS من ستاتكوم لتعزيز استقرار نظام الطاقة ,ANALYSIS AND RTDS IMPLEMENTATION OF STATCOM FOR POWER SYSTEM STABILITY ENHANCEMENT
D136, تحليل إضافة / إسقاط مرشحات الموجة الضوئية بأشكال تجويف مستوية ,ANALYSIS OF ADD/DROP OPTICAL WAVEGUIDE FILTERS WITH PLANAR CAVITY SHAPES
D137, تحليل إضافة / إسقاط مرشحات الموجة الضوئية مع التجاويف الرنانة المضمنة   باستخدام طريقة الخطوط ,ANALYSIS OF ADD/DROP OPTICAL WAVEGUIDE FILTERS WITH EMBEDDED RESONANT CAVITIES USING THE METHOD OF LINES
D138, تحليل تجويف دليل الموجة الضوئية العاكس المضاد باستخدام طريقة الخطوط ,ANALYSIS OF ANTIRESONANT REFLECTING OPTICAL WAVEGUIDE GRATING USING THE METHOD OF LINES
D139, امتزاز ثاني أكسيد الكربون باستخدام الرماد المتطاير المعالج كيميائيا ً ,Adsorption of Carbon Dioxide Using Chemically Treated Fly Ash
D140, التقييم والتنبؤ وتحسين موثوقية قوالب البثق ,"Assessment, Prediction and Enhancement of the Reliability of Extrusion Dies"
D141, تقييم حالة بداية التيار الصاعد من قضبان فرانكلين النشطة ,Assessment of Onset Condition of Upward Streamer from Energized Franklin rods
D142, تقييم ممارسات القدرة الإنشائية بين المقاولين العامين في المنطقة الشرقية بالمملكة   العربية السعودية ,ASSESSMENT OF CONSTRUCT ABILITY PRACTICES AMONG GENERAL CONTRACTORS IN THE EASTERN PROVINCE OF SAUDI ARABIA
D143," تقييم البارامترات الهيدروجيولوجية من دراسة المقطع الرقيق للحجر الرملي   الطباشيري الأوسط ، تكوين الواسيا ، المملكة العربية السعودية ","Assessment of hydrogeological parameters from thin section study of Middle Cretaceous sandstone, Wasia Formation, Saudi Arabia"
D144, تقييم قيمة R الفعالة لبناء المغلف باستخدام تقنية عالية الدقة للتصوير الحراري ,ASSESSMENT OF EFFECTIVE R-VALUE OF BUILDING ENVELOPE USING HIGH DEFINITION THERMAL IMAGING TECHNIQUE
D145, تقييم قوة الخرسانة عن طريق اختبار لور وكابو ,ASSESSMENT OF CONCRETE STRENGTH BY LOR AND CAPO TESTS
D146, تقرير حول تقييم الوضع الراهن للبنية التحتية وسياسات قطاع الإعلام في المملكة   العربية السعودية ,ASSESSMENT OF FACTORS AFFECTING BUILDING MAINTENANCE MANAGEMENT AUDITING IN SAUDI ARABIA
D147, تقييم تصميم وتشغيل أنظمة التدفئة والتهوية وتكييف الهواء من أجل جودة الهواء   الداخلي في المملكة العربية السعودية ,Assessment of HVAC Systems Design and Operation for Indoor Air Quality in Saudi Arabia
D148, تقييم تصورات إدارة المخاطر وممارسات مقاولي البناء في المملكة العربية السعودية ,Assessment of Risk Management Perceptions and Practices of Construction Contractors in Saudi Arabia
D149, تقييم إجراءات السلامة في تصميم المباني السكنية في المملكة العربية السعودية ,ASSESSMENT OF SAFETY MEASURES IN THE DESIGN OF RESIDENTIAL BUILDINGS IN SAUDI ARABIA
D150, تقييم العلاقة بين حجم LNAPL المنسكب وسمكه في مراقبة الآبار مع الأخذ في   الاعتبار تاريخ تقلب جدول المياه ,ASSESSMENT OF THE RELATIONSHIP BETWEEN THE SPILLED LNAPL VOLUME AND ITS THICKNESS IN MONITORING WELLS CONSIDERING THE WATER TABLE FLUCTUATION HISTORY
D151, تقييم المشكلات التي تواجه صناعة الصيانة في المملكة العربية السعودية ,ASSESSMENT OF THE PROBLEMS FACING THE MAINTENANCE INDUSTRY IN SAUDI ARABIA
D152, تقييم عدم اليقين في قياسات المسامية باستخدام الرنين المغناطيسي النووي وأدوات   التسجيل التقليدية في مكامن الكربونات ,Assessment of Uncertainty in Porosity Measurements using NMR and Conventional Logging Tools in Carbonate Reservoirs
D153, إجراء تقييم للجودة البيئية الداخلية المقبولة في مرافق الرعاية الصحية ,AN ASSESSMENT PROCEDURE FOR ACCEPTABLE INDOOR ENVIRONMENTAL QUALITY IN HEALTH CARE FACILITIES
D154, لشبكات العصبية المرتبطة بالذاكرة لتصحيح الأخطاء في رموز الكتل الخطية ,ASSOCIATIVE MEMORY NEURAL NETWORKS FOR ERROR CORRECTION OF LINEAR BLOCK CODES
D155, الحث غير المتماثل في إضافة سيكلو 1.3 -ثنائي القطب باستخدام النيترونات اللولبية ,"Asymmetric Induction In 1,3-Dipolar Cycloaddition Using Chiral Nitrones"
D156, السلوك المقوم لحلول بعض مشكلات المرونة المرئية ّ ِ ,ASYMPTOTIC BEHAVIOUR OF SOLUTIONS OF SOME VISCOELASTIC PROBLEMS
D157, مهاجمة شبكات الاتصال المجهولة من خلال تصحيح المنفذ ,ATTACKING ANONYMOUS COMMUNICATION NETWORKS THROUGH PORT REDIRECTION
D158, المصادقة على تخصيص العناوين غير الرسمية في شبكات 6  IPv ,AUTHENTICATION FOR STATELESS ADDRESS ALLOCATION IN IPv6 NETWORKS
D159, تقييم مستوى السلامة في أداء أعمال صيانة المباني في المملكة العربية السعودية ,ASSESSMENT OF SAFETY LEVEL IN PERFORMING BUILDING MAINTENANCE WORK IN SAUDI ARABIA
D160, تقييم الخصائص الجيوتقنية لخلائط الرمل المارل المستقرة للأغراض الإنشائية ,Assessment o f the geotechnical properties of stabilized sand-marl mixtures for constructional purposes
D161, تقييم الكثافة وقوة القص في الرمال الشرقية السعودية باستخدام اختبار اختراق   المخروط الديناميكي (DCPT) ,ASSESSMENT OF DENSITY AND SHEAR STRENGTH OF EASTERN SAUDI SANDS USING DYNAMIC CONE PENETRATION TESTING (DCPT)
